Date,Open,High,Low,Close,Volume
2020-03-09,36.0,36.25,30.0,32.0,4808
2020-03-16,32.5,44.75,25.0,30.0,9824
2020-03-23,28.25,38.5,25.25,34.5,23052
2020-03-30,33.0,35.5,26.25,31.0,5784
2020-04-06,33.0,33.25,29.5,31.0,3328
2020-04-13,31.0,47.5,30.5,38.75,110900
2020-04-20,40.5,40.5,32.75,34.75,5384
2020-04-27,36.5,40.0,33.5,34.25,3664
2020-05-04,33.5,35.75,32.0,33.5,3932
2020-05-11,35.5,35.5,32.5,34.0,2632
2020-05-18,34.5,39.75,33.5,37.75,8560
2020-05-25,38.75,54.5,37.0,40.5,37368
2020-06-01,39.25,44.75,37.25,43.0,8484
2020-06-08,42.75,79.0,35.0,37.0,648776
2020-06-15,36.5,40.75,35.75,36.75,166544
2020-06-22,36.75,37.75,33.75,34.75,89780
2020-06-29,34.75,36.75,33.75,34.5,42324
2020-07-06,35.0,38.75,33.25,35.5,121104
2020-07-13,35.75,36.75,32.5,35.5,34460
2020-07-20,36.0,38.75,34.5,35.0,75348
2020-07-27,35.0,54.25,35.0,40.25,461812
2020-08-03,38.5,62.5,36.25,46.5,728508
2020-08-10,43.75,47.25,38.25,38.75,76672
2020-08-17,39.0,40.25,35.25,36.5,118344
2020-08-24,38.0,38.0,32.25,33.75,100492
2020-08-31,34.5,38.75,30.0,32.5,107696
2020-09-07,31.5,35.0,30.25,31.75,32872
2020-09-14,32.75,34.75,31.75,33.0,29012
2020-09-21,33.0,37.75,28.5,30.25,104500
2020-09-28,30.0,100.0,30.0,54.0,4790880
2020-10-05,52.25,57.0,50.5,50.75,239656
2020-10-12,50.0,51.5,46.5,47.0,126368
2020-10-19,49.5,54.5,42.75,45.0,562844
2020-10-26,45.0,46.0,41.5,43.5,86820
2020-11-02,44.25,48.5,42.25,45.75,83196
2020-11-09,43.75,51.0,42.75,46.0,94192
2020-11-16,43.75,45.0,41.25,43.25,69008
2020-11-23,43.75,49.25,41.5,48.75,120984
2020-11-30,49.25,59.0,47.5,50.75,173040
2020-12-07,50.75,57.25,48.0,49.5,117876
2020-12-14,50.0,50.25,45.25,45.5,60164
2020-12-21,46.5,47.0,44.5,45.0,27176
2020-12-28,45.75,45.75,40.0,42.5,52436
2021-01-04,42.25,49.25,42.0,48.25,59656
2021-01-11,48.25,53.75,47.0,48.0,157716
2021-01-18,48.25,56.5,47.75,55.5,81524
2021-01-25,55.5,68.5,51.25,53.75,164312
2021-02-01,53.25,70.5,52.5,70.0,188440
2021-02-08,68.5,79.75,64.0,75.5,251768
2021-02-15,75.25,82.5,70.5,74.25,91420
2021-02-22,73.0,82.25,58.25,62.75,308008
2021-03-01,63.25,65.25,46.25,53.25,108020
2021-03-08,51.75,66.0,51.5,64.25,56752
2021-03-15,65.0,74.5,60.5,63.5,162072
2021-03-22,64.75,65.0,54.25,59.75,54548
2021-03-29,59.25,62.25,55.0,60.5,25768
2021-04-05,62.5,64.5,58.5,59.5,30548
